sk8tag,name,lat,lon
sk869y6zx4,skatepark,-34.6337462,-58.3785486
sk869y71yc,Skate Estacion  Hurlngham FFCC San MArtin,-34.59061,-58.6326595
sk869y778e,Skate Park,-34.5817852,-58.5528946
sk869y78vy,skatepark,-34.5087196,-58.6688046
sk869y7b20,Bata-park,-34.4966124,-58.6986418
sk869y7gxe,Parque Municipal de Deportes Extremos,-34.4554999,-58.5525468
sk869y7h4r,skatepark,-34.6164907,-58.5248799
sk869y7hsy,skatepark,-34.6018844,-58.5047959
sk869y7jtz,skatepark,-34.5959878,-58.4589038
sk869y7kt0,skatepark,-34.5569948,-58.5131313
sk869y7mtb,skatepark,-34.5532441,-58.4685451
sk869y7n7c,skatepark,-34.60758,-58.4339707
sk869y7p9z,Berlina Bunker skatepark,-34.6188351,-58.3708119
sk869y7pc1,skatepark,-34.6224361,-58.3685064
sk869y7pfd,skatepark,-34.6139451,-58.3664469
sk869y7qe7,Skatepark Plaza Haití,-34.5668632,-58.4199051
sk869y7qer,skatepark,-34.5664191,-58.4153559
sk869y7qnn,skatepark,-34.5507377,-58.4386021
sk869y7qqm,skatepark,-34.549504,-58.4291889
sk869y7qqn,skatepark,-34.5507549,-58.4270718
sk869y7r49,skatepark,-34.5711299,-58.4014473
sk869y7r56,skatepark,-34.5664772,-58.3999585
sk869y7tdd,skatepark,-34.5264368,-58.4664497
sk869y7uux,skatepark,-34.4712318,-58.4924694
sk869yc27m,skatepark,-34.9185463,-57.98909
sk869ycd3t,skatepark,-34.8838114,-57.9010354
sk869ycdj7,skatepark,-34.8625994,-57.9149918
sk869ycdjt,skatepark,-34.8615516,-57.9124477
sk869yd02y,Skatepark Claypole,-34.8005251,-58.3396263
sk869yd15m,skatepark,-34.7859921,-58.3079452
sk869yd46j,skatepark,-34.7934546,-58.252325
sk869yd47j,skatepark,-34.7875614,-58.2533169
sk869yd6mh,skatepark,-34.7320632,-58.2542168
sk869yd8ur,skatepark,-34.6920984,-58.3166889
sk869yggtn,skatepark,-34.4683178,-57.8454435
sk869yhxe4,skatepark,-34.3485321,-58.7296824
sk869yjbyc,Skatepark y canchita,-34.1075462,-59.0279544
sk869yjdds,Skate Park Campana,-34.1755471,-58.9469918
sk869yk4d7,skatepark,-34.4402982,-58.5965425
sk869zstn3,skatepark,-34.3295407,-56.7317257
sk86cb13hg,skatepark,-34.9100513,-56.2014038
sk86cb13z3,skatepark,-34.8964891,-56.1714162
sk86cb16qh,skatepark,-34.9025846,-56.1455556
sk86cb16ss,skatepark,-34.9109028,-56.1334467
sk86cb17pd,Pista de patinaje Plaza de los Olímpicos,-34.8940793,-56.1152103
sk86cb181f,skatepark,-34.8823214,-56.2470214
sk86cb18g9,skatepark,-34.8733068,-56.2146039
sk86cb18v0,skatepark,-34.8648195,-56.215896
sk86cb19n8,skatepark,-34.8559403,-56.2048791
sk86cb1cfb,skatepark,-34.8335028,-56.1729836
sk86cb1d1k,skatepark,-34.8855534,-56.155641
sk86cb1ddq,skatepark,-34.880016,-56.1309582
sk86cb1djw,skatepark,-34.8620443,-56.153196
sk86cb1dsm,skatepark,-34.8692125,-56.1322084
sk86cb1f2b,skatepark,-34.8436488,-56.1508312
sk86cb1g56,skatepark,-34.8302604,-56.1147999
sk86cb1s3e,skatepark,-34.8842457,-56.0584727
sk86cb1vcr,skatepark,-34.8416255,-55.9868109
sk86cb42wf,skatepark,-34.7227276,-56.2240333
sk86cb48uh,skatepark,-34.6942786,-56.2105794
sk86cb9wjw,skatepark,-34.8618664,-55.2742326
sk86cbcju4,skatepark,-34.95845,-54.9391762
sk86cbcmk0,Parque La Loma,-34.9138514,-54.9634811
sk86cbcmzd,skatepark,-34.8940095,-54.9389601
sk86cbcmze,SkatePark Maldonado Nuevo,-34.8944189,-54.9383044
sk86cbcq78,skatepark,-34.9160188,-54.919316
sk86cbcrs6,skatepark,-34.9123102,-54.8620293
sk86cbfndd,Parque Skate San Carlos,-34.7905057,-54.9068976
sk86cbsqv7,skatepark,-34.3793785,-55.2454218
sk86cc6z9j,skatepark,-34.6668812,-54.1552212
sk86ccym9y,skatepark,-34.0478612,-53.5390244
sk86d0fd7m,Skate Park,-33.292433,-66.3389523
sk86d12qrv,Skate Park,-33.6622939,-65.4599783
sk86d3cb49,skatepark,-32.0213965,-65.0367501
sk86d45xfw,skatepark,-33.1198131,-64.3373554
sk86d4tsez,skatepark,-32.7618077,-63.7767762
sk86d5p88z,Skate Park Villa Nueva,-32.4264107,-63.2493221
sk86d5p8fv,Skate Park,-32.4164738,-63.2409413
sk86d61e2v,skatepark,-32.0757907,-64.5378091
sk86d65vvw,skatepark,-31.6534961,-64.4258885
sk86d66cp4,skatepark,-31.8212994,-64.2887233
sk86d6jket,Skatepark Villa Carlos Paz,-31.4003808,-64.4828711
sk86d6jstm,Skatepark Parque Síquiman,-31.3476628,-64.4827507
sk86d6jtjs,Skate Park,-31.3465403,-64.4612499
sk86d6jxus,skatepark,-31.3508989,-64.3401532
sk86d6m5wk,Pista de Skate,-31.4292197,-64.1755981
sk86d6m6qz,skatepark,-31.3837302,-64.2266066
sk86d6m76v,skatepark,-31.4057842,-64.1861167
sk86d6m7js,skatepark,-31.3897133,-64.1985782
sk86d6md14,Rollers Salom,-31.371435,-64.2441228
sk86d6md4e,Street Plaza,-31.3632113,-64.2431568
sk86d6me8j,skatepark,-31.3757252,-64.1741914
sk86d6mhpt,skatepark,-31.422933,-64.1530471
sk86d6pk7d,Skatepark Villa Giardino,-31.0488131,-64.4971281
sk86d6psrs,skatepark,-30.9838875,-64.4944249
sk86d6q0xq,Pista Skate,-31.2478818,-64.304529
sk86d6rv3x,skatepark,-30.9726712,-64.0951141
sk86d6t8vv,skatepark,-31.3448239,-63.9441579
sk86d7jjrd,Skate Park,-31.4232685,-63.0474279
sk86dcjyzx,skatepark,-28.4780967,-65.7870313
